residue,element,mass,electron,radius
sY,GO,28.0101,14,2.640064
sY,GN,15.01468,8,2.640064
sY,GC,14.02658,8,2.640064
sY,BCG,39.05592,21,2.200016
sY,BCE2,26.03728,14,2.200016
sY,BCE1,42.03668,20,2.200016
sX,GO,28.0101,14,2.640064
sX,GN,15.01468,8,2.640064
sX,GC,14.02658,8,2.640064
sX,BSG,46.09258,24,2.640064
sW,GO,28.0101,14,2.640064
sW,GN,15.01468,8,2.640064
sW,GC,14.02658,8,2.640064
sW,BPE,1.00794,1,2.200016
sW,BNE,39.03608,20,2.200016
sW,BCZ,26.03728,14,2.200016
sW,BCG,38.04798,20,2.200016
sW,BCE,26.03728,14,2.200016
sV,GO,28.0101,14,2.640064
sV,GN,15.01468,8,2.640064
sV,GC,14.02658,8,2.640064
sV,BCB,39.05592,24,2.640064
sT,GO,28.0101,14,2.640064
sT,GN,15.01468,8,2.640064
sT,GC,14.02658,8,2.640064
sT,BPG,1.00794,1,2.514288
sT,BOG,44.05256,24,2.514288
sS,GO,28.0101,14,2.640064
sS,GN,15.01468,8,2.640064
sS,GC,14.02658,8,2.640064
sS,BPG,1.00794,1,2.514288
sS,BOG,30.02598,16,2.514288
sR,GO,28.0101,14,2.640064
sR,GN,15.01468,8,2.640064
sR,GC,14.02658,8,2.640064
sR,BNN2,16.02262,8.5,2.82856
sR,BNN1,16.02262,8.5,2.82856
sR,BCZ,27.02538,14,2.514288
sR,BCG,39.05592,24,2.640064
sQ,GO,28.0101,14,2.640064
sQ,GN,15.01468,8,2.640064
sQ,GC,14.02658,8,2.640064
sQ,BOD,15.9994,8,2.514288
sQ,BND,16.02262,9,2.514288
sQ,BCD,40.06386,22,2.514288
sP,GO,28.0101,14,2.640064
sP,GN,14.00674,7,2.640064
sP,GC,13.01864,7,2.640064
sP,BCG,39.05592,24,2.640064
sN,GO,28.0101,14,2.640064
sN,GN,15.01468,8,2.640064
sN,GC,14.02658,8,2.640064
sN,BOD,15.9994,8,2.514288
sN,BND,16.02262,9,2.514288
sN,BCG,26.03728,14,2.514288
sM,GO,28.0101,14,2.640064
sM,GN,15.01468,8,2.640064
sM,GC,14.02658,8,2.640064
sM,BSD,75.15368,41,2.640064
sL,GO,28.0101,14,2.640064
sL,GN,15.01468,8,2.640064
sL,GC,14.02658,8,2.640064
sL,BCG,57.11426,33,2.640064
sK,GO,28.0101,14,2.640064
sK,GN,15.01468,8,2.640064
sK,GC,14.02658,8,2.640064
sK,BCG,39.05592,24,2.514288
sK,BCE,31.05714,17,3.457216
sI,GO,28.0101,14,2.640064
sI,GN,15.01468,8,2.640064
sI,GC,14.02658,8,2.640064
sI,BCG,57.11426,33,2.640064
sHe,GO,28.0101,14,2.640064
sHe,GN,15.01468,8,2.640064
sHe,GC,14.02658,8,2.640064
sHe,BNE,27.02538,14,2.200016
sHe,BND,16.02262,8,2.200016
sHe,BCG,39.05592,21,2.200016
sHd,GO,28.0101,14,2.640064
sHd,GN,15.01468,8,2.640064
sHd,GC,14.02658,8,2.640064
sHd,BNE,15.01468,7,2.200016
sHd,BND,28.03332,15,2.200016
sHd,BCG,39.05592,21,2.200016
sG,GO,28.0101,14,2.640064
sG,GN,15.01468,8,2.640064
sG,GC,14.02658,8,2.640064
sF,GO,28.0101,14,2.640064
sF,GN,15.01468,8,2.640064
sF,GC,14.02658,8,2.640064
sF,BCG,39.05592,21,2.200016
sF,BCE2,26.03728,14,2.200016
sF,BCE1,26.03728,14,2.200016
sEh,GO,28.0101,14,2.640064
sEh,GN,15.01468,8,2.640064
sEh,GC,14.02658,8,2.640064
sEh,BOE2,17.00734,9,2.514288
sEh,BOE1,15.9994,8,2.514288
sEh,BCD,40.06386,22,2.514288
sE,GO,28.0101,14,2.640064
sE,GN,15.01468,8,2.640064
sE,GC,14.02658,8,2.640064
sE,BOE2,15.9994,8.5,2.82856
sE,BOE1,15.9994,8.5,2.82856
sE,BCD,40.06386,22,2.514288
sDh,GO,28.0101,14,2.640064
sDh,GN,15.01468,8,2.640064
sDh,GC,14.02658,8,2.640064
sDh,BOE2,17.00734,9,2.514288
sDh,BOE1,15.9994,8,2.514288
sDh,BCG,26.03728,14,2.514288
sD,GO,28.0101,14,2.640064
sD,GN,15.01468,8,2.640064
sD,GC,14.02658,8,2.640064
sD,BOE2,15.9994,8.5,2.82856
sD,BOE1,15.9994,8.5,2.82856
sD,BCG,26.03728,14,2.514288
sC,GO,28.0101,14,2.640064
sC,GN,15.01468,8,2.640064
sC,GC,14.02658,8,2.640064
sC,BSG,46.09258,24,2.57712
sC,BPG,1.00794,1,2.514288
sA,GO,28.0101,14,2.640064
sA,GN,17.03056,9,2.640064
sA,GC,28.05316,16,2.640064
nY,GO,28.0101,14,2.640064
nY,GN,17.03056,9,2.640064
nY,GC,13.01864,7,2.640064
nY,BCG,39.05592,21,2.200016
nY,BCE2,26.03728,14,2.200016
nY,BCE1,42.03668,20,2.200016
nX,GO,28.0101,14,2.640064
nX,GN,17.03056,9,2.640064
nX,GC,13.01864,7,2.640064
nX,BSG,46.09258,24,2.640064
nW,GO,28.0101,14,2.640064
nW,GN,17.03056,9,2.640064
nW,GC,13.01864,7,2.640064
nW,BPE,1.00794,1,2.200016
nW,BNE,39.03608,20,2.200016
nW,BCZ,26.03728,14,2.200016
nW,BCG,38.04798,20,2.200016
